 iteration 1
Iter = 	1	 relative error = 	2.0786	 diff_step = 	144966402.288	 diff = 	1824256.6177	 diff1 = 	1599334.0776	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	223422.5401
Iter = 	2	 relative error = 	2.037	 diff_step = 	56847.272	 diff = 	1807322.9372	 diff1 = 	1587448.8624	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	218374.0748
Iter = 	3	 relative error = 	2.0305	 diff_step = 	10781.5051	 diff = 	1797167.7872	 diff1 = 	1587902.6501	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	207765.1371
Iter = 	4	 relative error = 	2.0234	 diff_step = 	16169.3757	 diff = 	1780842.7956	 diff1 = 	1591089.5411	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	188253.2544
Iter = 	5	 relative error = 	2.0115	 diff_step = 	23076.3791	 diff = 	1759249.6501	 diff1 = 	1596097.2761	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	161652.374
Iter = 	6	 relative error = 	1.9984	 diff_step = 	22328.4254	 diff = 	1737057.8436	 diff1 = 	1601543.6162	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	134014.2274
Iter = 	7	 relative error = 	1.9883	 diff_step = 	18502.9532	 diff = 	1718014.5168	 diff1 = 	1606876.6009	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	109637.9159
Iter = 	8	 relative error = 	1.982	 diff_step = 	14946.2938	 diff = 	1703095.8521	 diff1 = 	1611957.3237	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	89638.5284
Iter = 	9	 relative error = 	1.9788	 diff_step = 	12548.8526	 diff = 	1691382.3855	 diff1 = 	1616761.6446	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	73120.741
Iter = 	10	 relative error = 	1.9776	 diff_step = 	10619.0837	 diff = 	1682441.4689	 diff1 = 	1621170.3167	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	59771.1522
Iter = 	11	 relative error = 	1.9776	 diff_step = 	8329.8181	 diff = 	1676355.7651	 diff1 = 	1624996.6335	 diff2 = 	0	 diff3 = 	0	 diff4 = 	1500	 diff5 = 	49859.1315
